Width: 100
Length: 200
Depth: 400
35.1105 88.1418 57.9806
32.9204 3.30077 145.403
4.49022 57.5921 191.03
68.022 57.0326 169.541
40.6706 75.3147 362.83
2.07021 90.0916 283.35
21.7603 20.4817 214.89
35.3205 72.0766 109.436
58.7212 61.4041 90.1226
87.603 24.5722 76.4012
38.4305 55.7 14.8902
74.9632 20.5517 233.22
55.191 39.3086 9.95017
66.6218 69.1196 67.5908
76.6837 20.8118 167.381
63.4715 66.4743 80.9615
2.76021 56.7378 299.69
77.9441 53.8165 42.5804
13.7803 49.1876 350.02
9.08024 7.83092 39.7603
32.9204 16.7414 371.4
33.6305 39.4788 112.705
65.5517 78.3236 32.5103
23.1303 19.5616 39.5703
10.6303 93.8113 59.1706
87.1922 9.42099 89.4424
70.7023 65.2778 280.1
68.652 33.6546 335.64
39.7306 17.1814 390.05
29.1304 30.7235 8.04017
91.4573 45.3636 300.92
65.6417 58.0551 84.5018
1.56021 42.5639 358.85
15.1203 99.351 57.9306
100 36.7308 16.45
99.995 16.0914 273.84
99.9951 88.8617 156.281
99.9951 27.3428 289.68
99.995 87.8318 376.69
99.995 95.6512 327.65
99.995 1.0107 104.03
99.995 22.832 346.41
99.995 22.422 179.331
99.995 77.6538 391.06
99.995 30.0734 165.201
99.995 45.5445 205.58
99.995 8.26094 339.8
99.995 57.0733 296.65
99.995 57.914 316.51
99.995 48.2495 107.839
99.995 89.2217 61.8006
99.9951 27.8528 289
99.995 71.9667 86.582
99.995 19.3916 269.59
99.995 39.9694 312.45
99.995 75.8245 43.6904
99.995 11.2511 324.02
99.995 72.5862 199.89
99.995 68.7498 178.221
99.995 69.4691 366.46
99.995 48.7583 94.6536
99.995 23.7321 36.0703
99.995 78.5235 137.406
99.995 49.9714 157.721
99.995 42.8546 224.37
99.995 31.7139 186.48
99.995 17.2214 230.76
99.9942 38.3877 182.96
99.9942 51.3671 117.501
99.995 56.9787 209.25
99.995 93.3213 202.3
99.995 83.0525 83.6717
99.995 36.4661 377.92
99.995 95.9912 98.8254
99.9942 37.597 388.87
99.995 62.9591 354.01
99.995 61.0294 144.713
99.995 83.4524 52.5505
99.9942 72.3364 277.11
99.995 13.2712 78.9013
99.995 99.171 369.35
99.995 2.09073 153.572
99.995 71.7868 295.44
99.995 44.8411 57.2605
99.995 83.3424 106.024
99.995 6.87089 78.0613
99.995 11.0911 37.4703
99.995 78.2436 338.64
99.995 80.1431 119.818
99.995 46.3193 164.311
99.995 58.5009 299.3
99.995 63.5453 249.8
99.995 29.3832 28.6403
99.9952 67.0431 195.84
99.995 8.99097 63.9407
99.995 57.6249 168.631
99.995 59.6125 70.4309
99.995 65.6865 163.061
99.995 16.3314 203.16
99.995 3.93079 381.13
99.995 32.214 220.06
99.995 77.8137 101.307
99.995 98.951 257.9
99.995 36.9565 396.23
99.995 10.211 207.88
99.995 33.0544 166.971
99.9953 80.523 196.8
99.995 62.5621 260.95
99.995 48.8705 231.2
99.995 4.4708 75.5111
99.995 42.0829 308.69
99.995 36.306 44.2904
99.995 56.2253 261.21
99.995 82.0527 220.89
99.995 86.312 370.28
99.995 68.131 157.971
99.995 1.63072 172.491
99.995 62.3142 35.0703
99.995 45.022 195.98
99.995 43.2657 65.7507
99.995 85.4221 342.44
99.995 29.0331 379.07
99.995 75.4446 254.32
99.995 87.1019 324.17
99.9951 2.80075 271.16
99.995 31.9539 183.79
99.995 34.6151 42.3204
99.995 21.6019 109.577
99.995 42.2031 155.321
99.995 28.4029 204.51
99.9952 17.8715 391.51
99.995 66.7836 67.9608
99.995 85.6121 329.57
99.995 78.2936 100.426
99.995 70.8576 330.63
99.995 51.0823 68.1608
99.995 50.1484 50.3004
99.995 87.2419 291.72
99.995 51.1912 356.52
99.995 46.7324 147.732
99.995 10.631 238.31
99.995 59.41 158.101
99.995 77.3839 311.05
99.995 60.2543 285.35
99.995 77.174 304.5
99.9952 44.9516 157.991
99.995 33.5646 270.98
99.995 10.7711 55.0805
99.995 6.74088 122.916
99.995 19.7117 362.7
99.995 38.6079 147.692
99.995 83.6424 348.52
99.9952 49.4134 179.901
99.995 59.3715 8.22017
99.995 19.2216 257.08
99.995 59.2659 192.72
99.995 18.1615 305.91
99.995 90.3716 267.16
99.995 39.1785 216.83
99.995 86.9519 286.91
99.995 20.7118 220.26
99.995 66.9932 154.122
99.995 94.8512 149.762
99.9955 59.4196 87.6522
99.995 73.3957 167.991
99.995 51.9125 94.1935
99.995 16.4614 247.47
99.995 95.8712 25.5002
99.995 36.316 224.05
99.995 70.2582 12.0102
99.995 86.342 9.15017
99.995 30.3534 254.44
99.995 7.05089 237.83
99.995 40.4501 123.69
99.995 5.00082 233.75
99.995 16.0414 46.2004
99.995 73.2958 312
99.995 63.0186 365.69
99.995 72.4264 281.18
99.9951 73.7955 207.63
99.995 2.97076 236.29
99.995 24.7123 290.21
99.9942 26.4726 370.46
99.995 70.3182 384.07
99.995 36.8464 93.4933
99.995 22.762 95.9641
99.995 79.9132 169.681
99.995 77.074 397.97
99.995 58.326 253.55
99.995 33.5145 104.441
99.995 69.2694 108.813
99.995 14.9513 344.65
99.995 10.231 79.0213
99.9942 54.5053 166.781
99.995 20.2917 43.4204
99.995 49.5369 85.8219
99.995 98.991 16.2902
99.995 38.3476 196.87
99.995 44.2087 279.99
99.995 47.5402 24.7602
99.995 91.4328 299.8
99.995 64.3911 211.58
99.995 13.9412 255.63
99.995 83.7224 172.151
99.995 47.0149 231.47
99.995 14.9613 215.15
99.995 87.0719 349.13
99.995 84.2623 208.58
99.995 8.66096 288.79
99.9951 92.9514 387.85
99.995 25.1923 180.151
99.995 82.9425 316.05
99.995 63.4459 287.35
99.995 33.4645 378.43
99.995 51.6813 201.97
99.995 47.52 57.9006
99.995 78.8234 278.89
99.995 76.9041 352.29
99.995 35.9658 53.0005
99.995 83.3624 199.82
99.995 33.3845 68.6708
99.995 92.7014 27.6902
99.995 58.6031 352.22
99.995 16.5614 170.031
99.995 49.1671 258.26
99.995 15.2713 237.24
99.995 42.594 181.301
99.9954 89.4317 264.15
99.995 3.41077 199.56
99.995 88.4218 384.08
99.995 16.7014 104.03
99.995 29.9933 262.52
99.995 32.5542 229.44
99.995 51.1476 363.32
99.995 26.5726 183.84
99.995 85.6021 85.2919
99.995 12.7312 319.74
99.995 42.8646 168.751
99.995 25.0223 334.04
99.995 64.6999 4.85016
99.995 49.2184 378.42
99.995 15.3213 140.774
99.995 61.4929 279.15
99.995 46.9644 189.91
99.995 72.2365 336.29
99.995 53.8412 389.31
99.995 68.4905 98.6753
99.995 89.7916 228.2
99.995 51.9832 391.52
99.995 44.4194 252.39
99.995 52.0427 101.577
99.995 56.9148 88.9123
99.9951 0.560692 204.34
99.995 14.5613 381.47
99.995 89.9716 52.1905
99.9942 82.7226 73.441
99.995 94.9612 256.66
99.995 98.921 383.15
99.995 93.6413 215.59
99.995 24.7623 288.33
99.9951 25.8824 271.31
99.995 40.6303 98.2851
99.995 57.4876 367.94
99.9951 47.8337 16.2802
99.995 97.6811 116.416
99.995 90.6716 305.49
99.9951 42.9447 245.54
99.995 60.5872 84.2617
99.995 42.2933 21.7402
99.995 48.5851 157.901
99.995 12.7812 274.26
99.995 45.7457 378.81
99.995 10.171 392.37
99.995 93.7313 62.2806
99.995 52.2002 362.86
99.995 97.8611 197.72
99.995 5.62084 135.157
99.995 52.2496 265.15
99.995 59.6803 146.423
99.9951 15.8013 219.94
99.9942 71.6969 50.0304
99.9942 7.75092 298.04
99.995 71.1873 145.353
99.995 95.2812 34.3303
99.995 76.7941 135.197
99.995 66.3347 40.0003
99.995 76.2943 345.65
99.995 24.8723 59.1106
99.995 0.650694 244.36
99.995 18.2815 25.7802
99.995 38.4978 340.44
99.995 95.4612 344.28
99.995 78.4735 289.38
99.995 38.8381 86.602
99.995 70.6578 166.241
99.9951 42.2933 268.62
99.995 26.3325 198
99.995 75.7745 80.8014
99.995 88.7617 5.76016
99.9952 35.5556 134.608
99.9942 69.549 185.85
99.995 76.1943 110.574
99.995 2.98076 4.51016
99.995 69.1198 177.471
99.995 57.2691 170.511
99.995 56.9268 302.83
99.9951 42.8447 246.31
99.995 38.0474 399.24
99.995 9.22098 364.16
99.995 73.4157 144.503
99.995 9.28098 91.9829
99.995 12.9212 138.105
99.9951 7.71092 183.38
99.9953 91.5415 370.58
99.995 88.3018 322.83
99.995 57.0162 332.21
99.995 30.8236 258.61
99.995 73.1659 241.83
99.995 47.4492 43.5404
99.995 21.7719 260.28
99.995 59.5063 319.28
99.995 43.2858 242.16
99.995 96.3412 311.23
99.995 86.202 303.1
99.995 45.8261 81.5115
99.9951 18.0715 259.95
99.995 75.6946 254.82
99.995 34.7551 231.39
99.995 32.084 312.16
99.995 0.920701 268.46
99.995 43.4161 188.3
99.995 78.6335 273.76
99.995 15.4013 293.17
99.995 96.7711 198.56
99.9951 11.5911 344.92
99.995 68.8 89.1724
99.995 7.71092 34.2903
99.995 42.6642 338.76
99.995 98.2111 346.85
99.995 72.2265 256.58
99.995 14.0912 94.0134
99.995 35.6856 23.6702
99.995 37.4869 304.98
99.995 14.1812 145.153
99.995 85.4421 220.47
99.995 82.8425 33.1303
99.995 35.8858 398.34
99.995 19.7817 122.82
99.995 44.5901 1.93015
99.995 69.8687 316.43
99.995 80.553 332.83
99.995 37.7972 284.6
99.995 34.7051 123.992
99.995 92.8614 261.47
99.995 46.7728 74.6111
99.995 74.5051 141.894
99.995 11.1111 322.06
99.995 78.8034 78.9413
99.995 27.2627 234.07
99.995 31.1037 22.1602
99.995 25.9225 322.55
99.995 49.3312 103.79
99.995 62.572 150.242
99.995 56.9659 386.77
99.995 36.8864 159.541
99.9951 79.4233 233.3
99.995 71.7467 366.14
99.9952 66.1049 351.78
99.995 88.5018 103.72
99.995 94.4313 274.66
99.995 34.565 127.205
99.995 47.4593 309.26
99.995 4.85082 344.12
99.995 37.4569 257.63
99.995 50.9742 338.12
99.995 37.4168 149.752
99.995 9.32099 307.05
99.9956 66.8934 152.982
99.995 66.5242 270.53
99.995 60.6068 163.151
99.995 62.4232 212.95
99.995 42.0829 183.51
99.995 88.4518 384.98
99.995 87.1419 192.99
99.995 97.5111 149.542
99.995 88.3018 395.36
99.995 33.9447 111.099
99.995 85.5521 290.96
99.9951 73.8155 385.21
99.995 94.0813 382.53
99.995 62.7506 84.7918
99.9951 53.2785 300.94
99.995 93.4713 22.1602
99.995 68.6003 59.8106
99.9953 6.07086 107.317
99.995 58.3534 99.946
99.995 64.431 392.84
99.995 40.9208 36.3203
99.995 98.651 81.6815
99.995 51.039 335.14
99.995 72.6762 233.54
99.995 67.1229 333.3
99.995 90.3016 138.265
99.995 94.3613 189.29
99.995 70.5979 292.28
99.9951 81.4928 340.48
99.995 94.4513 220.48
99.995 64.202 293.99
99.995 23.9522 278.77
99.995 10.8411 332.39
99.9952 20.0117 83.5517
99.995 92.5914 2.08015
99.995 56.2531 28.9603
99.995 97.4811 255.39
99.9951 44.6102 55.8005
99.995 81.8127 364.21
99.995 94.8012 93.7034
99.995 31.7239 83.5317
99.995 87.0519 174.411
99.995 46.5812 389.43
99.995 80.733 2.35015
99.995 41.2113 142.124
99.995 4.09079 316.49
99.995 58.6966 224.06
99.995 72.2567 366.87
99.995 15.5213 322.61
99.995 55.73 22.2902
99.995 10.181 195.62
99.995 57.4876 40.2403
99.995 83.5524 4.11016
99.995 49.434 282.47
99.995 96.3912 90.0725
99.995 89.9516 5.25016
99.995 81.9427 333.65
99.995 39.3387 290.27
99.995 95.4012 294.58
99.995 93.1214 256.28
99.995 4.71081 198.91
99.995 57.9666 132.41
99.995 30.0333 120.651
99.995 83.6524 377.57
99.995 2.06073 110.837
99.9951 90.0716 291.59
99.995 26.7726 131.492
99.995 74.8249 123.041
99.995 85.1922 182.69
99.995 56.8894 50.9204
99.995 31.3437 20.1502
99.995 77.5538 308.25
99.995 8.81096 23.6302
99.995 42.0528 371.22
99.995 18.3715 79.3013
99.995 12.3811 69.5809
99.995 98.871 34.4203
99.9951 64.3613 3.50015
99.995 57.2834 308.04
99.995 34.2549 196.65
99.995 57.0304 77.0412
99.995 9.27098 83.4917
99.9952 18.3715 101.577
99.995 85.0522 73.471
99.995 2.17073 216.63
99.9951 72.886 170.761
99.9952 48.3104 383.1
99.995 90.2616 300.24
99.995 34.6151 344.43
99.995 73.7955 201.4
99.995 15.7113 127.882
99.995 1.38071 386.87
99.995 97.5211 341.55
99.995 2.96076 12.9602
99.995 18.7916 370.14
99.995 58.8755 155.911
99.995 33.8547 302.53
99.995 72.6462 270.53
99.995 73.9553 226.26
99.995 15.0113 131.192
99.995 80.8929 122.337
99.995 14.6913 218.76
99.995 66.2349 219.53
99.995 38.3076 214.86
99.995 40.2698 396.81
99.995 1.86073 249.17
99.995 49.3826 15.4102
99.995 80.643 72.131
99.995 86.252 242.37
99.995 74.1253 225.92
99.995 57.949 227.41
99.995 88.0118 387.67
99.995 73.3258 352.82
99.995 45.2832 312.1
99.995 1.54072 194.42
99.995 10.281 356.44
99.995 84.7922 320.26
99.995 3.42077 250.55
99.995 74.695 12.6002
99.995 76.8241 200.82
99.995 40.1497 192.15
99.9952 15.8413 186.68
99.9951 49.075 235.65
99.995 89.2817 361.69
99.995 5.91085 138.265
99.995 66.1153 303.6
99.995 10.071 323.04
99.995 12.6511 52.4005
99.995 21.2118 346.32
99.995 62.9888 241.93
99.995 84.4223 136.926
99.995 59.8937 54.6705
99.995 94.8412 228.69
99.995 1.55072 288.15
99.995 93.7213 12.5502
99.995 61.8191 130.224
99.995 1.26071 55.7505
99.995 26.8026 229.65
99.995 3.97079 161.911
99.995 11.5811 302.43
99.9951 27.3027 58.9106
99.995 47.5604 61.9906
99.995 23.9822 87.9622
99.995 46.8938 225.9
99.995 60.2739 345.85
99.995 81.0229 250.25
99.995 46.7929 250.84
99.995 46.3193 364.41
99.9942 39.3887 304.84
99.995 65.8659 324.62
99.995 72.1965 341.38
99.995 32.2741 335.84
99.995 70.2782 244.05
99.995 79.1933 346.79
99.995 51.9714 219.91
99.995 61.7103 136.306
99.995 54.6303 118.246
Iteration : 3
62.4732 87.0543 243.88
61.463 96.3026 76.1726
24.6008 85.2448 235.96
80.672 57.9447 341.39
94.4292 12.8226 208.851
35.6611 27.5862 151.314
99.3437 79.1575 115.678
30.6409 94.9328 89.4755
18.3107 33.9706 116.535
85.0401 37.0847 9.57038
52.032 45.4232 154.783
26.6108 62.0434 34.2606
98.9116 88.374 239.15
6.22051 78.428 79.7931
45.9015 50.0424 168.172
7.03052 69.8096 5.48036
52.522 23.6547 164.052
19.0707 37.3051 250.47
50.7219 7.16201 168.932
33.721 11.7225 150.964
27.5909 43.3355 131.825
70.7353 39.2993 153.904
44.3815 70.1189 42.4008
69.2548 98.0624 247.25
53.032 44.8674 357.41
85.3409 88.164 108.891
73.1863 59.6497 318.25
98.659 2.39166 272.73
3.01048 18.9036 293.44
95.1179 54.8236 166.392
22.7208 87.1043 86.2544
5.1505 30.1376 121.688
15.5506 63.7744 8.63038
83.3061 96.9725 359.19
49.5218 38.6478 332.86
39.6912 6.52196 68.2918
63.0233 74.5914 255.8
54.5922 99.0623 180.661
38.7912 90.6035 46.1109
33.151 16.7632 121.249
37.6812 2.54167 296.46
16.5806 0.821566 187.751
40.8913 77.9983 258.34
97.5883 63.2612 27.8106
55.4623 49.0823 7.14037
57.9025 96.8325 291.18
92.7439 30.0275 348.08
95.1394 70.6476 258.35
60.5529 38.4072 27.2705
0.840459 32.7795 289.21
36.3511 38.758 22.2305
6.11051 70.1189 315.51
39.0512 29.3971 302.36
54.5922 4.42182 121.931
88.8158 58.4516 199.721
26.1708 37.9563 245.67
32.061 21.9142 54.5611
56.1623 16.6231 1.74033
22.4407 61.1005 345.51
62.5332 90.3535 226.42
20.2607 30.6579 195.041
34.6611 13.6127 397.74
34.091 14.7729 79.633
8.65054 38.9384 121.712
29.5709 38.6578 341.54
90.8836 79.0976 394.28
35.7611 10.8824 243.66
57.7625 19.6637 273.35
93.4317 57.7546 291.5
27.5609 41.8578 42.6708
87.6996 20.6139 264.82
22.2407 50.7749 201.641
76.1179 78.1582 54.8411
52.512 24.8051 25.5105
73.7565 91.5033 227.54
26.2808 38.7881 311.56
44.4115 15.0629 145.076
80.7321 4.36179 140.369
44.8015 40.3623 287.22
58.3926 42.0084 68.3118
49.3318 49.7831 52.431
99.7973 89.2138 70.402
91.6234 89.1238 285.07
28.1809 17.5933 259.92
61.443 70.8672 63.4415
62.1932 44.2318 286.08
42.5114 98.4824 375.97
85.1203 57.7581 311.8
89.2789 57.8462 91.3263
8.31054 37.3752 73.0822
32.191 42.2897 222.55
98.9386 51.4335 306.58
97.3416 46.8542 126.773
35.5611 44.6251 81.4834
96.5681 50.6278 114.833
64.9137 77.5186 313.94
56.8524 45.4637 382.08
78.1294 66.5519 390.04
82.7651 8.78216 17.6704
71.2554 34.7815 66.2117
73.4764 66.6812 10.1004
65.6038 33.4902 276.41
66.614 66.1044 388.82
82.6249 11.5224 159.593
84.7794 58.0378 72.5422
66.334 5.7319 252.86
86.866 30.1776 322.2
91.6234 73.1132 122.906
48.5717 2.25165 246.9
23.2608 90.7335 89.3154
10.0806 64.5561 159.313
43.1314 8.00209 265.02
18.0807 7.36203 287.29
61.6231 99.4223 137.143
43.9614 98.4224 71.7721
94.293 39.3795 190.691
89.9946 64.7345 172.352
68.2145 69.6201 105.347
34.351 71.0867 261.18
4.9305 6.25194 347.58
76.8984 11.0624 214.55
31.261 93.653 266.4
68.1945 20.5339 114.268
52.292 15.1029 333.71
39.7312 50.3933 163.642
95.8813 50.5604 171.572
99.5213 91.5533 199.121
75.0472 50.2939 128.989
72.2058 73.7324 205.391
14.5606 36.4037 355.26
84.8496 28.7168 398.38
92.9282 70.478 339.88
85.702 50.9701 164.332
77.0686 74.4116 241.21
24.2408 83.6954 15.2804
25.3608 65.6076 137.342
89.3998 88.8739 304.46
89.1681 15.833 174.491
69.4248 19.3636 217.18
78.79 92.3932 52.8811
49.7118 12.4726 44.6408
27.4709 58.0655 75.5225
10.2806 17.1032 31.8006
46.3116 33.1598 173.541
92.4884 97.4025 135.375
14.0306 74.2018 257.64
60.6929 37.806 166.922
49.7418 22.7545 308.37
21.7107 75.87 62.7215
6.48052 4.82183 129.983
44.7115 44.9078 213.331
99.1936 4.35179 287.46
68.7346 37.2049 139.45
76.318 63.419 291.48
17.2807 69.1515 150.904
21.3507 68.1249 314.12
60.4729 15.983 210.581
19.4707 13.6427 91.6664
22.8008 25.2553 182.171
31.921 47.1705 277.58
86.6351 70.4381 384.07
11.8206 35.7627 329.84
22.5008 15.463 66.8617
12.8106 57.9185 270.62
97.3018 48.2904 259.98
74.3769 12.8326 374.03
12.9806 27.1111 128.93
3.83049 50.6842 308.16
47.1116 87.3642 337.38
53.7721 87.9241 113.423
46.0515 93.403 140.999
84.2982 87.9541 309.86
4.5805 96.2226 190.951
26.0208 57.8782 265.85
51.2719 33.5702 9.14038
81.403 89.5937 388.26
62.1131 98.1424 231.73
12.2406 17.8634 63.9115
42.1813 88.074 79.323
8.43054 82.4958 243.69
72.3359 94.2629 282.98
36.5411 33.6303 295.78
98.8983 66.9399 359.71
96.5445 34.2609 42.7308
87.0367 93.153 35.7107
57.0624 21.3741 277.62
36.1111 76.8592 216.15
58.7927 97.4025 140.179
23.9808 47.0276 168.172
42.3714 5.39187 235.61
47.0816 58.3974 142.298
61.6631 22.8945 61.4714
54.4922 83.1256 262.35
87.0066 71.8253 295.39
62.5032 24.1449 253.38
46.1016 46.6098 334.52
26.5008 43.577 80.4032
79.4006 55.9129 56.1612
52.772 50.947 370.49
38.8112 70.3782 22.1905
47.8517 84.9849 281.71
52.622 23.8748 44.4408
48.3117 61.6727 58.9113
65.4538 78.398 218.91
86.0129 51.3122 156.143
74.0667 17.4333 170.142
98.5965 45.1603 285.36
73.1062 58.2772 273.95
78.4397 75.92 356.56
73.0162 48.8831 217.28
71.8357 46.5081 272.62
10.9206 80.6867 246.06
3.36048 65.6474 181.571
46.4316 76.2297 9.16038
29.2609 43.1242 267.64
77.9693 87.6242 183.601
16.3806 38.0966 57.5312
98.7457 39.4497 344.77
46.2316 68.095 288.92
86.7455 46.5895 169.952
25.4008 58.2425 269.36
20.2707 25.8455 64.1415
19.7907 87.2742 188.491
63.4534 22.0643 204.631
59.4627 33.5202 351.7
86.8259 76.8691 229.58
3.40048 10.7024 187.441
72.8461 10.4323 190.021
12.9406 92.3532 397.2
88.5944 48.1457 133.978
59.4727 27.4061 175.391
13.3806 36.654 160.653
35.6811 44.6251 377.18
76.8084 21.9843 50.591
49.7618 95.0528 40.5808
73.1863 57.5668 327.16
72.8761 54.0102 305.22
46.3116 40.6331 217.73
6.74052 41.918 289.35
14.5506 68.0651 66.7817
11.7506 24.1449 130.47
65.6138 58.1661 351.54
14.6906 60.0976 316.37
58.7326 85.7947 360.19
3.52048 22.4944 133.081
61.9131 83.5354 375.72
56.9224 4.4318 281.96
4.04049 57.9836 283.82
88.4234 36.2534 185.661
43.6214 57.9383 243.72
89.8131 67.8658 341.9
1.59047 34.7515 377.87
8.22054 97.9724 335.01
45.9615 43.9497 191.001
47.9817 71.7754 205.191
57.1925 22.1243 135.934
28.0109 11.4824 282.78
8.54054 44.4637 353.93
91.1164 11.8325 351.85
95.6491 7.76206 332.45
57.1725 46.0715 34.4006
73.7665 30.768 164.622
80.0313 76.0998 31.4606
82.7952 63.271 387.4
19.0107 94.3829 383.27
4.54049 31.8187 80.3031
90.9545 12.0025 336.25
87.6594 39.6703 206.141
7.85053 5.95191 53.0411
57.3625 57.5623 233.83
39.6412 95.9427 396.38
33.561 39.6903 374.23
11.1706 60.5052 179.451
41.5913 57.561 293.68
44.6615 16.3831 238.1
69.1247 86.9343 83.6438
34.451 38.2068 279.37
53.9621 0.811565 41.7208
66.494 62.7394 184.701
72.4559 47.242 348.15
47.6416 20.1938 53.7411
69.6349 27.6462 328.75
73.0662 6.80198 203.351
50.3418 3.27172 20.7105
49.0517 21.5241 136.244
28.9909 92.1832 234.71
90.8533 51.4702 46.7109
54.6622 4.98182 121.461
16.2306 46.8644 305.97
12.0206 11.2524 144.147
46.4416 19.2836 65.5816
49.3818 81.8161 185.781
22.2707 16.8332 228.37
4.04049 22.5344 231.7
1.17046 89.8436 177.801
51.1919 93.0531 241.2
20.6807 33.6303 58.8613
1.29046 9.73225 244.07
30.8709 3.52174 336.12
31.0509 25.9355 189.931
9.70055 7.30202 383.68
61.8331 92.6231 32.6706
35.5411 92.0232 177.521
79.1604 67.0892 138.811
24.0308 85.3248 51.541
83.246 67.7364 96.2894
65.0237 32.7295 71.6221
77.3888 98.8823 40.2507
66.1339 7.14201 226.65
34.051 41.9683 286.48
72.9361 45.3929 296.96
86.8158 73.1931 174.931
88.8561 25.2853 251.88
93.7934 48.8936 295.99
11.5506 45.3221 326.26
38.1212 89.0938 144.507
7.30052 27.4261 161.332
87.0568 86.3545 8.03037
12.4906 60.1919 249.03
53.5321 8.22211 142.388
17.4707 22.8845 99.7532
22.5708 30.5778 120.106
58.6126 80.3568 188.441
41.8713 7.64205 79.593
14.8206 50.6955 318.19
4.17049 42.3098 357.79
42.4914 87.7341 58.1613
77.1586 80.6667 0.800328
1.60047 58.3946 288.37
2.61048 25.6754 309.39
23.1008 5.7719 325.45
58.3926 89.8936 23.1305
23.6108 34.0207 111.025
98.9808 86.5016 283.22
57.9425 88.5139 179.291
56.6324 81.0765 87.7049
26.2708 69.6501 166.642
99.2141 47.7646 335.27
78.8801 58.284 253.58
91.0152 49.9989 21.0405
85.2607 63.2316 252.05
25.2308 85.5947 34.8107
55.6423 8.00209 238.1
83.0957 58.4372 7.03037
44.0514 31.7787 86.5945
64.2835 68.7328 94.1478
16.8107 6.38195 128.127
45.2115 39.6803 359.68
91.6843 29.147 323.14
39.3412 88.9138 84.8741
73.8866 3.93176 277.2
97.8512 32.5193 177.581
93.2875 23.6547 181.281
62.1932 14.9529 105.488
40.7413 60.2298 287.18
53.4121 40.7335 234.96
63.4934 42.2596 194.481
63.2633 58.4526 355.99
69.1847 63.419 98.6318
30.1709 77.2688 258.87
51.1619 95.4827 217.57
89.2789 66.711 277.63
11.2106 85.3348 172.112
91.4103 72.2645 178.751
54.5222 21.134 173.231
26.8708 32.7094 330.33
85.2306 27.2961 94.2279
79.2104 86.5544 312.82
21.6607 26.0856 362.69
86.2738 17.6233 387.76
34.431 40.4927 328.12
71.3355 80.4068 70.652
43.5214 89.7537 28.7006
92.7848 82.9756 101.316
45.4815 17.3433 106.171
80.0012 38.4874 331.43
68.5646 58.3337 330.23
46.9216 72.9535 74.3824
36.9311 72.6939 265.08
90.914 27.106 40.4107
80.7221 72.7638 306.61
11.8606 45.7876 314.06
82.4446 43.0437 262
81.9137 6.52196 124.625
7.79053 15.573 277.22
88.5341 30.3077 100.935
87.1572 92.3732 284.35
23.0208 16.3131 1.07033
43.0814 58.3298 336.72
65.9339 9.33221 40.2307
10.3206 64.6354 110.209
19.9607 17.8133 5.56036
0.710457 78.2481 229.61
79.3205 32.6094 81.5434
96.1626 29.3471 83.0937
8.73054 24.7751 266.3
64.3835 82.016 290.43
57.6325 77.1689 32.8206
62.0731 98.5123 371.55
73.7765 42.1792 175.531
2.89048 60.5912 94.518
38.9012 65.3396 273.64
48.6617 7.08201 351
13.3306 1.98164 125.771
83.9775 88.074 218.56
84.0577 2.23165 301.92
99.7973 38.4674 339.04
78.0493 32.6394 49.891
95.5178 35.933 172.222
53.5721 12.2325 228.19
11.9106 29.117 306.9
27.2109 41.0044 175.681
93.3596 46.9664 90.5559
31.351 18.0734 97.4505
18.9307 14.3928 303.27
34.481 57.9643 130.033
46.6716 84.2452 375.51
63.5934 58.681 295.7
53.9321 26.2056 262.72
52.882 66.3729 63.8315
36.0211 58.3535 325.65
15.2606 90.5535 323.33
21.9607 84.3151 350.56
16.3806 74.911 344.79
51.3219 90.1336 283.93
56.2524 39.6302 268.66
79.2705 15.923 244.72
54.0321 74.2118 180.781
89.1077 65.8759 108.326
51.6819 91.6033 281.05
26.3208 54.1099 19.4605
8.88054 58.4511 159.163
22.3507 27.4261 361.6
6.27051 76.8392 394.53
70.4752 49.5477 35.6807
5.78051 29.0769 381.08
92.7541 57.9962 227.14
19.0507 46.946 115.025
52.432 31.3584 201.061
11.5406 13.8627 175.151
63.1533 47.6927 325.32
68.0544 49.156 195.711
38.2312 65.2502 130.888
23.3208 44.8169 354.15
25.1308 2.00164 152.204
72.0958 19.9038 188.571
39.9913 33.6303 171.762
41.9813 27.6862 303.17
82.9855 99.4723 372.8
38.2212 36.5339 292.78
22.0907 22.9245 257.24
57.0024 98.9923 321.52
49.3118 22.5844 370.88
22.3407 71.8053 148.535
56.0523 19.2236 147.265
98.5965 84.8649 189.051
78.9001 27.086 129.526
21.1307 63.6164 206.631
79.4306 39.6402 267.15
61.253 98.8723 64.2116
98.6171 41.7071 237.63
30.3309 97.6224 106.07
71.5856 59.1678 253.77
45.2415 24.3049 143.267
79.0302 31.4985 137.043
46.5016 61.4782 74.3323
35.1111 88.144 57.9812
32.921 3.30172 145.406
4.49049 57.9005 191.031
68.0244 58.3269 169.542
40.6713 75.3206 362.83
2.07047 90.0936 283.35
21.7607 20.4839 214.89
35.3211 72.0848 109.468
58.7226 61.4588 90.1257
87.6193 24.575 76.4026
38.4312 57.9118 14.8904
74.9672 20.5539 233.22
55.1922 39.3193 9.95039
66.624 69.1315 67.5918
76.6883 20.814 167.382
63.4734 66.4922 80.9633
2.76048 58.4375 299.69
77.9493 55.4195 42.5808
13.7806 49.272 350.02
9.08055 7.83207 39.7607
32.921 16.7432 371.4
33.631 39.4898 112.786
65.5538 78.3281 32.5106
23.1308 19.5637 39.5707
